"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rpl3",2.97491723563958e-20,-1.10339037749339,0.75,0.964,1.50679557985145e-16
"Eef1g",3.10409970704681e-20,-1.23893588044437,0.446,0.916,1.57222650161921e-16
"Rpl36",3.44161124428124e-20,-1.01417410284227,0.679,0.963,1.74317609522845e-16
"Cox7a2",5.65233406024751e-20,-1.17143295993593,0.446,0.929,2.86290720151536e-16
"Rpl29",8.13020026976826e-20,-1.19936121613808,0.518,0.908,4.11794643663762e-16
"Atp5a1",8.34166387025451e-20,-1.15876469120131,0.554,0.908,4.22505275028391e-16
"Rpl6l",1.0602751052702e-19,-1.45833959671771,0.214,0.825,5.37029340819358e-16
"Rpl7a",1.07067958420234e-19,-1.0973475778646,0.536,0.921,5.42299209398484e-16
"Uba52",1.20753077244946e-19,-1.2531027325185,0.25,0.86,6.11614336245651e-16
"Rps3a1",1.37493491087221e-19,-1.06338547862961,0.732,0.958,6.96404532356774e-16
"Rps4x",1.61172102558432e-19,-1.11822939957107,0.75,0.955,8.1633669945846e-16
"Cyc1",2.37180133233145e-19,-1.30792952260972,0.321,0.86,1.20131737482588e-15
"Slc25a3",2.94555104382268e-19,-1.09830410819455,0.429,0.922,1.49192160369619e-15
"Rps24",2.99154786167952e-19,-0.884026414953272,0.768,0.969,1.51521899194068e-15
"Atp5g2",3.45551622777458e-19,-1.18914821560574,0.411,0.887,1.75021896936783e-15
"Gapdh",4.0103801801191e-19,-1.34963307756198,0.268,0.834,2.03125756123032e-15
"Cox5a",5.99585575836436e-19,-1.09144091123194,0.589,0.923,3.03690094161155e-15
"Rpl36a",6.62507422813815e-19,-1.107498651328,0.607,0.92,3.35560009655198e-15
"Atp5o",7.42151338878618e-19,-1.18438725259597,0.464,0.903,3.7589965314202e-15
"Btf3",7.76742468628423e-19,-1.13046615274066,0.5,0.886,3.93420060360296e-15
"Rpsa",1.0047609963977e-18,-1.04402162279934,0.696,0.949,5.08911444675435e-15
"Hspa8",1.00672856618601e-18,-1.0888444671907,0.589,0.939,5.09908018773214e-15
"Rps13",1.00735032732808e-18,-1.02086434748979,0.732,0.942,5.10222940791672e-15
"Taldo1",1.31188169097732e-18,-1.08286253420607,0.464,0.903,6.64468076480012e-15
"Rps12-ps3",1.35903950235823e-18,-1.38439107924647,0.25,0.799,6.88353507944445e-15
"Tpt1",1.79777228119756e-18,-0.991959979807651,0.643,0.929,9.10571660426566e-15
"Comt",2.52830555535963e-18,-0.880320081083243,0.661,0.98,1.28058676378965e-14
"Plac8",2.69544146581381e-18,-1.21388575615868,0.714,0.933,1.36524110243469e-14
"Rpl34",2.82241655569029e-18,-1.0145610616351,0.625,0.923,1.42955398545713e-14
"Aldh1b1",3.74376323600729e-18,-1.25817058864635,0.286,0.838,1.89621607903769e-14
"Calm1",4.26562306132524e-18,-1.04982775625023,0.661,0.913,2.16053808056123e-14
"Rpl38",5.40075660322025e-18,-0.953065587622971,0.536,0.937,2.73548321953106e-14
"Rpl35",5.87612430346994e-18,-1.11032670221111,0.554,0.906,2.97625695970752e-14
"Rpl10",6.26863154779511e-18,-0.950830049189419,0.714,0.959,3.17506187895822e-14
