"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Anp32e",5.2151956129227e-30,0.372548286335331,0.621,0.272,2.64149657794535e-26
"Rrm1",6.22698037799226e-30,0.391621507146315,0.479,0.168,3.15396556145308e-26
"Cenps",6.35878761376172e-30,0.27189498444217,0.303,0.072,3.22072592637031e-26
"1700097N02Rik",7.0174354175537e-30,0.257311942417816,0.364,0.101,3.55433103899095e-26
"Mcm5",7.55516702425664e-30,0.389517924745033,0.479,0.17,3.82669209778599e-26
"Dut",6.43599117292423e-29,0.465774519425802,0.748,0.392,3.25982952908612e-25
"Trp53",1.04142448078802e-28,0.341244693831958,0.691,0.32,5.27481499519134e-25
"Snrpd1",1.06382953641982e-28,0.404515708615946,0.897,0.554,5.3882966019664e-25
"Lyar",4.05867332471055e-28,0.353504034474611,0.661,0.297,2.05571803896589e-24
"Rbp7",1.0247802478594e-27,0.439989727654555,0.533,0.22,5.19051195540785e-24
"Dtymk",1.57506305984179e-27,0.372734579015618,0.742,0.374,7.97769439809865e-24
"Nucks1",1.58525414415915e-27,0.373507688554289,0.597,0.265,8.0293122401661e-24
"Lmnb1",2.05967558006332e-27,0.362569597602277,0.497,0.189,1.04322568130207e-23
"Hjurp",2.09932618142916e-27,0.328628167441226,0.567,0.234,1.06330871089387e-23
"Nhp2",2.7630622854848e-27,0.40712885314745,0.894,0.57,1.39949104759805e-23
"Anp32b",5.32690033343432e-27,0.394645277460535,0.921,0.626,2.69807501888448e-23
"Pgp",7.82644580133898e-26,0.376266225791195,0.797,0.461,3.96409479837819e-22
"Hmgn2",1.0358840547659e-25,0.381506073486013,0.836,0.478,5.24675273738927e-22
"Ppih",1.10788243257094e-25,0.382108086826966,0.597,0.274,5.61142452097179e-22
"Cenpw",1.55237415857604e-25,0.268880032921203,0.485,0.187,7.86277511318765e-22
"Snx7",1.84478535175233e-25,0.297879368351782,0.552,0.232,9.34383780662554e-22
"Srsf7",4.29198481642765e-25,0.328150240872792,0.848,0.516,2.1738903095206e-21
"Sae1",6.0750023766428e-25,0.296303942847224,0.591,0.267,3.07698870376958e-21
"Snrpa1",6.94727332828111e-25,0.316035151663285,0.73,0.368,3.51879394077438e-21
"Set",2.84995118982183e-24,0.365762992246156,0.882,0.535,1.44350027764476e-20
"Hpf1",3.98991309044636e-24,0.271778746583921,0.503,0.21,2.02089098031108e-20
"Fkbp4",4.03813428450816e-24,0.33538893574813,0.952,0.747,2.04531501510338e-20
"Srsf3",8.95006399556458e-24,0.38927699328917,0.888,0.627,4.53320741375346e-20
"Rpa3",1.37707464699455e-23,0.352157512261563,0.564,0.261,6.97488308702739e-20
"Snrnp40",1.53912739187989e-23,0.301126314887049,0.655,0.307,7.79568023987162e-20
"U2af1",1.67511319443359e-23,0.357801790653932,0.909,0.597,8.48444832980612e-20
"Hspd1",4.18610468780102e-23,0.300024704649682,0.961,0.724,2.12026202437121e-19
"Mrpl51",6.51083861333448e-23,0.365634160682004,0.833,0.521,3.29773975765391e-19
"Ddx39",7.31158242799527e-23,0.387491124122254,0.797,0.479,3.7033164997796e-19
"Mrpl18",7.84041484004294e-23,0.386019388172069,0.852,0.594,3.97117011648175e-19
"Nxt1",9.89021252462969e-23,0.263601549258779,0.458,0.185,5.00939264372494e-19
"Bub3",1.88590383028474e-22,0.338547064535201,0.603,0.294,9.55210290039222e-19
"G3bp1",1.92503365674177e-22,0.300061156366321,0.839,0.523,9.75029547139708e-19
"Pold2",2.02882937380296e-22,0.351339337122683,0.533,0.247,1.0276020778312e-18
"Ahsa1",2.71202146390306e-22,0.380512671412737,0.782,0.45,1.3736388714669e-18
"Tubg1",2.84741926274874e-22,0.268714674167933,0.303,0.092,1.44221785658224e-18
"Alyref",3.1014896941984e-22,0.349617439466232,0.597,0.311,1.57090453011149e-18
"Dnajc9",3.30876360481157e-22,0.31411837067041,0.503,0.219,1.67588876583706e-18
